PassengerId,Ticket,A5,A4,Other,C,CA,FC,LINE,PP,PC,SC,SO,Paris,AH,O2,OQ,WC,WE
828,S.C./PARIS 2079,,,,,,,,,,1,,,,,,,
773,S.O./P.P. 3,,,,,,,,1,,,1,,,,,,
842,S.O./P.P. 3,,,,,,,,1,,,1,,,,,,
649,S.O./P.P. 751,,,,,,,,1,,,1,,,,,,
73,S.O.C. 14879,,,,,,,,,,,1,,,,,,
121,S.O.C. 14879,,,,,,,,,,,1,,,,,,
386,S.O.C. 14879,,,,,,,,,,,1,,,,,,
656,S.O.C. 14879,,,,,,,,,,,1,,,,,,
666,S.O.C. 14879,,,,,,,,,,,1,,,,,,
151,S.O.P. 1166,,,,,,,,1,,,1,,,,,,
68,S.P. 3464,,,,,,,,1,,,,,,,,,
571,S.W./PP 752,,,,,,,,,,,,,,,,,
390,SC 1748,,,,,,,,,,1,,,,,,,
595,SC/AH 29037,,,,,,,,,,1,,,1,,,,
433,SC/AH 3085,,,,,,,,,,1,,,1,,,,
474,SC/AH Basle 541,,,,,,,,,,1,,,1,,,,
44,SC/Paris 2123,,,,,,,,,,1,,1,,,,,
609,SC/Paris 2123,,,,,,,,,,1,,1,,,,,
686,SC/Paris 2123,,,,,,,,,,1,,1,,,,,
182,SC/PARIS 2131,,,,,,,,,,1,,1,,,,,
136,SC/PARIS 2133,,,,,,,,,,1,,1,,,,,
548,SC/PARIS 2146,,,,,,,,,,1,,1,,,,,
867,SC/PARIS 2149,,,,,,,,,,1,,1,,,,,
293,SC/Paris 2163,,,,,,,,,,1,,1,,,,,
362,SC/PARIS 2167,,,,,,,,,,1,,1,,,,,
240,SCO/W 1585,,,,,,,,,,1,1,,,,,,
85,SO/C 14885,,,,,,,,,,1,1,,,,,,
612,SOTON/O.Q. 3101305,,,,,,,,,,,,,,1,,,
466,SOTON/O.Q. 3101306,,,,,,,,,,,,,,1,,,
132,SOTON/O.Q. 3101307,,,,,,,,,,,,,,1,,,
364,SOTON/O.Q. 3101310,,,,,,,,,,,,,,1,,,
211,SOTON/O.Q. 3101311,,,,,,,,,,,,,,1,,,
785,SOTON/O.Q. 3101312,,,,,,,,,,,,,,1,,,
430,SOTON/O.Q. 392078,,,,,,,,,,,,,,1,,,
565,SOTON/O.Q. 392087,,,,,,,,,,,,,,1,,,
762,SOTON/O2 3101272,,,,,,,,,,,,,,,1,,
841,SOTON/O2 3101287,,,,,,,,,,,,,,,1,,
512,SOTON/OQ 3101316,,,,,,,,,,,,,,1,,,
492,SOTON/OQ 3101317,,,,,,,,,,,,,,1,,,
885,SOTON/OQ 392076,,,,,,,,,,,,,,1,,,
564,SOTON/OQ 392082,,,,,,,,,,,,,,1,,,
88,SOTON/OQ 392086,,,,,,,,,,,,,,1,,,
221,SOTON/OQ 392089,,,,,,,,,,,,,,1,,,
158,SOTON/OQ 392090,,,,,,,,,,,,,,1,,,
415,STON/O 2. 3101269,,,,,,,,,,,,,,,1,,
591,STON/O 2. 3101273,,,,,,,,,,,,,,,1,,
434,STON/O 2. 3101274,,,,,,,,,,,,,,,1,,
244,STON/O 2. 3101275,,,,,,,,,,,,,,,1,,
174,STON/O 2. 3101280,,,,,,,,,,,,,,,1,,
665,STON/O 2. 3101285,,,,,,,,,,,,,,,1,,
580,STON/O 2. 3101286,,,,,,,,,,,,,,,1,,
745,STON/O 2. 3101288,,,,,,,,,,,,,,,1,,
401,STON/O 2. 3101289,,,,,,,,,,,,,,,1,,
637,STON/O 2. 3101292,,,,,,,,,,,,,,,1,,
383,STON/O 2. 3101293,,,,,,,,,,,,,,,1,,
116,STON/O 2. 3101294,,,,,,,,,,,,,,,1,,
730,STON/O2. 3101271,,,,,,,,,,,,,,,1,,
143,STON/O2. 3101279,,,,,,,,,,,,,,,1,,
404,STON/O2. 3101279,,,,,,,,,,,,,,,1,,
3,STON/O2. 3101282,,,,,,,,,,,,,,,1,,
217,STON/O2. 3101283,,,,,,,,,,,,,,,1,,
817,STON/O2. 3101290,,,,,,,,,,,,,,,1,,
227,SW/PP 751,,,,,,,,1,,,,,,,,,
527,W./C. 14258,,,,,,,,,,,,,,,,1,
243,W./C. 14263,,,,,,,,,,,,,,,,1,
784,W./C. 6607,,,,,,,,,,,,,,,,1,
889,W./C. 6607,,,,,,,,,,,,,,,,1,
87,W./C. 6608,,,,,,,,,,,,,,,,1,
148,W./C. 6608,,,,,,,,,,,,,,,,1,
437,W./C. 6608,,,,,,,,,,,,,,,,1,
737,W./C. 6608,,,,,,,,,,,,,,,,1,
236,W./C. 6609,,,,,,,,,,,,,,,,1,
93,W.E.P. 5734,,,,,,,,1,,,,,,,,,1
220,W/C 14208,,,,,,,,,,,,,,,,1,
541,WE/P 5735,,,,,,,,1,,,,,,,,,1
746,WE/P 5735,,,,,,,,1,,,,,,,,,1
